REEF_ID,SECTOR,SHELF,REEF_NAME,LATITUDE,LONGITUDE,SITE_NO,SITE_LATITUDE,SITE_LONGITUDE,REPORT_YEAR,P_CODE,YEAR_CODE,VISIT_NO,SAMPLE_DATE,SAMPLE_YEAR,SAMPLE_MONTH,TEMPERATURE,TEMPERATURE_YEAR_AVE,MEDIAN_LIVE_CORAL,MEDIAN_SOFT_CORAL,MEDIAN_DEAD_CORAL,MEAN_LIVE_CORAL,MEAN_SOFT_CORAL,MEAN_DEAD_CORAL,TOTAL_COTS,TOWS,MEAN_COTS_PER_TOW,TOTAL_TROUT,MEAN_TROUT_PER_TOW,SITE_SAMPLE_DATE,ALGAE_COVER,HARD_CORAL_COVER,SOFT_CORAL_COVER,OTHER_COVER,ALL_COVER
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,1,-11.019933,143.25005,2003,RAP,202203,11,6/01/2003,2003,1,31.3,30.5,7.5,2.5,2.5,13.447,3.571,2.5,1,32,0.04,0,0.151515152,6/01/2003,70.79,23,3.97,2.2,99.96
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,1,-11.019933,143.25005,2004,RAP,202304,12,26/01/2004,2004,1,34.8,30.5,2.5,2.5,2.5,6.897,5.813,1.515,0,45,0.02,0,0,26/01/2004,64.57,13.39,1.19,20.83,99.98
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,1,-11.019933,143.25005,2005,RM,202405,13,5/11/2005,2005,11,31.6,30.5,15,2.5,2.5,13.5,3.07,1.818,0,55,0,9,0,5/11/2005,77.2,11.62,4.9,6.32,100.04
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,1,-11.019933,143.25005,2006,RM,202506,14,6/01/2006,2006,1,30.8,30.5,7.5,2.5,0,16.108,2.738,0.513,0,36,0,8,0,6/01/2006,76.02,15,6.8,2.2,100.02
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,1,-11.019933,143.25005,2007,RAP,202607,15,21/12/2007,2007,12,30.8,30.5,25,7.5,2.5,22.25,9.375,1.274,50,24,0.964,55,1.866666667,21/12/2007,63,34.69,1.92,0.4,100.01
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,1,-11.019933,143.25005,2008,RM,202708,16,15/08/2008,2008,8,30.1,31.6,35,2.5,2.5,29.375,4.167,2.708,0,27,0,134,4.814814815,15/08/2008,65.78,23.1,5.44,5.7,100.02
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,1,-11.019933,143.25005,2009,RM,202809,17,29/10/2009,2009,10,32.6,30.5,25,2.5,0,29.135,6.034,0.473,0,33,0,0,0.127272727,29/10/2009,79.5,10.6,5.42,4.5,100.02
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,1,-11.019933,143.25005,2010,RM,202910,18,7/08/2010,2010,8,29.1,30.6,2.5,0,0,5,0,0,0,44,0,9,0,7/08/2010,45.58,24.9,6.66,22.83,99.97
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,1,-11.019933,143.25005,2011,RM,203011,19,30/01/2011,2011,1,31.3,30.5,7.5,2.5,0,16.108,4.135,0.75,0,55,0,11,0.162162162,30/01/2011,80.2,12.4,5.5,1.93,100.03
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,1,-11.019933,143.25005,2012,RAP,203112,20,30/05/2012,2012,5,28.2,32.6,15,15,2.5,18.042,19.107,1.917,0,85,0,27,0.5,30/05/2012,36.79,15,42.51,5.68,99.98
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,1,-11.019933,143.25005,2013,RM,203213,21,21/04/2013,2013,4,31.3,30.5,7.5,2.5,0,7.754,5.238,0.321,0,57,0,11,0.137931034,21/04/2013,32.1,12.3,31.3,24.28,99.98
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,1,-11.019933,143.25005,2014,RAP,203314,22,8/08/2014,2014,8,31.9,30,15,2.5,2.5,19.319,2.984,1.75,0,20,0.133,77,2.025641026,8/08/2014,81.76,6.4,3.52,8.3,99.98
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,1,-11.019933,143.25005,2015,RM,203415,23,8/12/2015,2015,12,31.1,30.5,62.5,2.5,0,52.995,5,0.444,0,31,0,4,0,8/12/2015,54.56,32.15,0.15,13.08,99.94
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,1,-11.019933,143.25005,2016,RM,203516,24,7/03/2016,2016,3,32,30.5,35,0,0,35.938,4.135,0.88,0,47,0.233,13,0.357142857,7/03/2016,53.7,16.8,28.3,1.2,100
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,1,-11.019933,143.25005,2017,RAP,203617,25,7/02/2017,2017,2,31,30,7.5,2.5,2.5,13.447,3.318,2.037,0,60,0,12,0.151515152,7/02/2017,74,22.1,0.95,2.97,100.02
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,1,-11.019933,143.25005,2018,RM,203718,26,11/02/2018,2018,2,26.6,30.6,7.5,2.5,2.5,8.382,3.063,2.241,0,22,0.129,27,1.130434783,11/02/2018,26.62,58.7,3.47,11.2,99.99
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,1,-11.019933,143.25005,2019,RM,203819,27,21/02/2019,2019,2,30.9,30.5,7.5,0,2.5,13.882,2.786,1.894,0,79,0,12,0,21/02/2019,55.33,15,19.71,9.97,100.01
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,1,-11.019933,143.25005,2020,RMRAP,201920,28,23/11/2019,2019,11,31.4,30,2.5,2.5,0,2.845,2.414,0.69,4,29,0.138,4,0.137931034,23/11/2019,70.6,8.73,0.91,19.76,100
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,1,-11.019933,143.25005,2021,RM,202021,29,12/12/2020,2020,12,32.6,30.5,2.5,2.5,0,5.625,2.292,0.729,2,24,0.083,4,0.166666667,12/12/2020,67.84,10.22,0.7,21.24,100
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,1,-11.019933,143.25005,2022,RM,204122,30,27/06/2022,2022,6,23.8,32.6,35,2.5,2.5,34.674,11.435,2.452,0,55,0,0,0,27/06/2022,46.61,34.92,14.3,4.17,100
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,1,-11.019933,143.25005,2023,RM,204223,31,2/06/2023,2023,6,31.7,30.5,7.5,0,2.5,10.542,0,1.5,0,57,0.058,9,0.139534884,2/06/2023,54.87,41,1.6,2.5,99.97
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,1,-11.019933,143.25005,2024,RM,204324,32,15/04/2024,2024,4,27.4,30,15,7.5,2.5,18.929,9.444,2.019,0,34,0,0,0.142857143,15/04/2024,36.6,44.1,0.7,18.59,99.99
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,1,-11.019933,143.25005,2025,RAP,204425,33,15/05/2025,2025,5,27.6,30.5,15,2.5,2.5,22.596,5.119,1.667,0,55,0.114,12,0.208955224,15/05/2025,64.6,25.5,8.08,1.8,99.98
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,1,-11.019933,143.25005,2026,RM,204526,34,9/10/2026,2026,10,27.6,32.6,15,2.5,0,18.311,2.797,0.946,0,32,0,30,0.8,9/10/2026,42.55,40.89,6.3,10.24,99.98
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,2,-11.0264,143.253967,1993,RM,201193,1,5/01/1993,1993,1,31.3,31.6,15,0,2.5,15.932,5.662,1.597,0,57,0.05,22,0.387096774,5/01/1993,13.61,31.23,50.37,4.78,99.99
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,2,-11.0264,143.253967,1994,RM,201294,2,6/11/1994,1994,11,31.5,30,15,7.5,2.5,20.458,6.3,2.5,0,83,0.017,8,0,6/11/1994,44.4,32.4,3.36,19.8,99.96
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,2,-11.0264,143.253967,1995,RAP,201395,3,20/12/1995,1995,12,29.6,30.5,7.5,0,2.5,11.125,2.984,2.5,0,97,0,0,0,20/12/1995,28.54,31.79,38.77,0.89,99.99
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,2,-11.0264,143.253967,1996,RAP,201496,4,5/04/1996,1996,4,28.6,31.6,25,0,2.5,23.906,0,2.331,0,49,0,0,0,5/04/1996,65,27.5,4.36,3.13,99.99
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,2,-11.0264,143.253967,1997,RM,201597,5,19/12/1997,1997,12,30.4,32.6,25,0,0,18.611,0,1.047,0,78,0.018,0,0,19/12/1997,31.7,39.19,16.82,12.3,100.01
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,2,-11.0264,143.253967,1998,RM,201698,6,4/02/1998,1998,2,29.7,32.6,35,0,2.5,34.461,0,2.604,0,57,0,4,0,4/02/1998,14.02,74.4,0.14,11.43,99.99
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,2,-11.0264,143.253967,1999,RAP,201799,7,6/04/1999,1999,4,29.3,30,56.25,2.5,2.5,48.419,2.414,2.778,0,38,0.114,0,0,6/04/1999,61.87,26.5,5.8,5.84,100.01
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,2,-11.0264,143.253967,2000,RAP,201900,8,5/01/2000,2000,1,31.2,30.5,7.5,2.5,2.5,6.047,2.474,2.283,0,16,0,30,0.6875,5/01/2000,63.26,25.26,7.44,4.02,99.98
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,2,-11.0264,143.253967,2001,RM,202001,9,20/03/2001,2001,3,31.5,30.5,2.5,2.5,0,3.013,3.75,1.161,3,44,0,7,0.178571429,20/03/2001,85.5,5.5,1.24,7.76,100
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,2,-11.0264,143.253967,2002,RM,202102,10,17/01/2002,2002,1,31,32.6,15,0,2.5,25.293,0,2.375,0,31,0,0,0,17/01/2002,43.3,38.7,2.7,15.3,100
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,2,-11.0264,143.253967,2003,RM,202203,11,11/10/2003,2003,10,31,30,7.5,7.5,2.5,9.063,10.294,2.5,38,88,0,0,0,11/10/2003,75.88,12.4,10.15,1.6,100.03
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,2,-11.0264,143.253967,2004,RM,202304,12,13/11/2004,2004,11,31,30.5,15,2.5,0,16.161,2.35,0.806,0,47,0,4,0,13/11/2004,74.7,19,4.68,1.6,99.98
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,2,-11.0264,143.253967,2005,RM,202405,13,11/05/2005,2005,5,31.7,31.6,35,2.5,2.5,39.864,2.5,2.672,0,19,0,5,0.096774194,11/05/2005,54.9,19.04,2.1,23.97,100.01
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,2,-11.0264,143.253967,2006,RM,202506,14,22/02/2006,2006,2,31.3,31.6,25,7.5,0,27,7.14,0.032,0,93,0.019,44,0.650793651,22/02/2006,19.41,41.11,31.63,7.84,99.99
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,2,-11.0264,143.253967,2007,RM,202607,15,20/11/2007,2007,11,29.9,30,15,2.5,2.5,19.3,11.435,1.742,0,75,0,47,0.891891892,20/11/2007,49.59,28.9,12.55,8.99,100.03
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,2,-11.0264,143.253967,2008,RMRAP,202708,16,2/02/2008,2008,2,31.3,31.6,5,7.5,2.5,9.44,13.048,2.372,0,40,0,0,0,2/02/2008,46.35,40.7,10.05,2.9,100
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,2,-11.0264,143.253967,2009,RM,202809,17,14/03/2009,2009,3,30.2,30,45,0,2.5,37,0,2.547,0,16,0,0,0,14/03/2009,87.9,6.3,3.73,2.09,100.02
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,2,-11.0264,143.253967,2010,RM,202910,18,18/08/2010,2010,8,33,32.6,25,0,0,27.857,7.333,1.25,554,86,8.269,0,0,18/08/2010,33.1,24.6,28.8,13.5,100
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,2,-11.0264,143.253967,2011,RM,203011,19,1/03/2011,2011,3,31.2,30.5,15,0,0,15.268,0,0.532,0,107,0,23,0,1/03/2011,87.9,8.5,1.5,2.1,100
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,2,-11.0264,143.253967,2012,RM,203112,20,3/10/2012,2012,10,36.5,30.5,15,2.5,2.5,15.885,2.935,1.889,0,61,0,0,0,3/10/2012,72.58,19.86,3.36,4.21,100.01
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,2,-11.0264,143.253967,2013,RM,203213,21,6/12/2013,2013,12,30.8,30.5,15,0,0,12.458,0,0.547,0,21,0,49,1.551724138,6/12/2013,53.6,29.28,4.05,13.08,100.01
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,2,-11.0264,143.253967,2014,RM,203314,22,4/05/2014,2014,5,25.3,31.6,25,7.5,2.5,29.135,8.167,1.912,0,25,0,58,2.037037037,4/05/2014,70.78,16,3.5,9.73,100.01
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,2,-11.0264,143.253967,2015,RM,203415,23,14/01/2015,2015,1,31.1,30,15,2.5,2.5,14.146,2.586,1.552,0,17,0,0,0,14/01/2015,52.5,0.5,3.4,43.6,100
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,2,-11.0264,143.253967,2016,RM,203516,24,28/12/2016,2016,12,30.5,30.5,15,0,0,17.833,0,0.776,0,41,0,23,0.329411765,28/12/2016,45.73,26.03,15.78,12.48,100.02
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,2,-11.0264,143.253967,2017,RM,203617,25,,2017,11,32.1,29.7,35,0,2.5,42.656,0,2.713,0,32,0.429,23,0.459459459,,67.04,30.75,0.2,2,99.99
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,2,-11.0264,143.253967,2018,RAP,203718,26,28/03/2018,2018,3,26.8,30,25,2.5,2.5,24.3,2.568,2.019,0,16,0,26,0.8,28/03/2018,29.9,57.31,5.33,7.44,99.98
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,2,-11.0264,143.253967,2019,RM,203819,27,16/11/2019,2019,11,28.5,30,35,0,0,35.313,0,1.444,0,55,0,4,0,16/11/2019,57.89,21.43,14.9,5.8,100.02
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,2,-11.0264,143.253967,2020,RMRAP,201920,28,23/11/2019,2019,11,31.4,30,2.5,2.5,0,2.845,2.414,0.69,4,29,0.138,4,0.137931034,24/11/2019,66.95,8.42,1.02,23.62,100.01
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,2,-11.0264,143.253967,2021,RM,202021,29,12/12/2020,2020,12,32.6,30.5,2.5,2.5,0,5.625,2.292,0.729,2,24,0.083,4,0.166666667,12/12/2020,63.89,12.57,1.3,22.24,100
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,2,-11.0264,143.253967,2022,RM,204122,30,10/05/2022,2022,5,31.3,30,15,2.5,0,11.902,5.962,0.368,0,31,0,1,0.152941176,10/05/2022,89,3,6.2,1.8,100
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,2,-11.0264,143.253967,2023,RAP,204223,31,5/02/2023,2023,2,31,30.6,2.5,2.5,0,8.174,2.5,0.045,0,33,0,0,0.085365854,5/02/2023,56.56,13.59,2.02,27.96,100.13
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,2,-11.0264,143.253967,2024,RM,204324,32,18/02/2024,2024,2,31.4,30.5,15,2.5,2.5,24.261,4.167,2.105,0,44,0,17,0,18/02/2024,71.6,18.8,1.65,7.91,99.96
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,2,-11.0264,143.253967,2025,RM,204425,33,19/01/2025,2025,1,29,31.6,25,2.5,2.5,25.06,5.324,1.923,0,58,0,8,0,19/01/2025,64.6,17.4,7.21,10.76,99.97
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,2,-11.0264,143.253967,2026,RM,204526,34,10/01/2026,2026,1,36.5,30.5,15,2.5,0,19.833,8.585,0.889,0,74,0.017,19,0.131578947,10/01/2026,74,13.5,5.46,7,99.96
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,3,-11.019033,143.257867,1993,RM,201193,1,21/02/1993,1993,2,32,30.6,7.5,2.5,2.5,11.5,2.57,2.344,0,67,0,16,0.209302326,21/02/1993,13.61,73.33,0.14,12.91,99.99
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,3,-11.019033,143.257867,1994,RM,201294,2,20/11/1994,1994,11,32,30.5,45,7.5,0,33.799,6.825,1.229,0,43,0,10,0.196078431,20/11/1994,70.88,19.42,1.1,8.6,100
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,3,-11.019033,143.257867,1995,RM,201395,3,5/02/1995,1995,2,31.1,31.6,2.5,2.5,2.5,3.462,2.5,2.191,29,41,1,0,0.075,5/02/1995,65.3,26.97,2.31,5.4,99.98
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,3,-11.019033,143.257867,1996,RM,201496,4,8/01/1996,1996,1,26.5,30.5,15,2.5,2.5,19.962,2.733,1.36,0,31,0,16,0.5625,8/01/1996,77,11.1,9,2.9,100
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,3,-11.019033,143.257867,1997,RAP,201597,5,15/01/1997,1997,1,28,32.6,2.5,2.5,0,3.158,0,1.125,0,47,0,16,0.612903226,15/01/1997,68.6,27.9,2.06,1.43,99.99
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,3,-11.019033,143.257867,1998,RAP,201698,6,25/02/1998,1998,2,31.5,30.5,25,2.5,5,20.286,11.184,3.75,0,111,0,13,0,25/02/1998,52.66,24.1,21.57,1.7,100.03
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,3,-11.019033,143.257867,1999,RAP,201799,7,30/01/1999,1999,1,33,32.6,45,7.5,0,47.941,12.931,0.147,27,19,0.513,0,0,30/01/1999,35.9,32.37,1.2,30.51,99.98
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,3,-11.019033,143.257867,2000,RM,201900,8,2/10/2000,2000,10,31.4,30,7.5,2.5,2.5,15.06,2.643,2.5,0,70,0,36,0.565217391,2/10/2000,52.66,28.33,5.21,13.78,99.98
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,3,-11.019033,143.257867,2001,RAP,202001,9,7/01/2001,2001,1,31.2,31.6,7.5,2.5,0,11.146,9.185,0.957,0,43,0,10,0.318181818,7/01/2001,31.36,29.1,29.3,10.22,99.98
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,3,-11.019033,143.257867,2002,RM,202102,10,27/04/2002,2002,4,32.6,30.5,45,2.5,0,33.799,2.644,0.943,0,19,0,6,0.273584906,27/04/2002,69.04,21.71,3.5,5.76,100.01
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,3,-11.019033,143.257867,2003,RAP,202203,11,26/12/2003,2003,12,29,30.6,15,0,2.5,13.95,0,1.774,0,74,0,13,0.114285714,26/12/2003,37.73,54.4,0.5,7.36,99.99
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,3,-11.019033,143.257867,2004,RM,202304,12,4/02/2004,2004,2,32.6,30,7.5,2.5,0,12.159,3.5,1.081,1,32,0,1,0.129032258,4/02/2004,70.4,21.65,4.2,3.75,100
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,3,-11.019033,143.257867,2005,RM,202405,13,17/05/2005,2005,5,29.7,32.6,2.5,7.5,2.5,3.984,11.455,1.863,0,47,0,17,0.433333333,17/05/2005,86.6,24.3,1.02,13.97,125.89
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,3,-11.019033,143.257867,2006,RAP,202506,14,9/02/2006,2006,2,31,30.5,25,25,0,22.25,25,1.548,0,33,0.088,19,0.387096774,9/02/2006,72.8,18,4.1,5.1,100
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,3,-11.019033,143.257867,2007,RM,202607,15,7/09/2007,2007,9,25.5,30.4,15,2.5,2.5,16.976,5,2.232,0,31,0,0,0.034090909,7/09/2007,60.9,27.04,29.1,7.36,124.4
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,3,-11.019033,143.257867,2008,RAP,202708,16,1/01/2008,2008,1,33.1,30,25,2.5,2.5,30.186,10.867,1.905,0,100,0,12,0.093333333,1/01/2008,44.1,13.96,30.3,11.62,99.98
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,3,-11.019033,143.257867,2009,RM,202809,17,20/09/2009,2009,9,31.9,30.5,15,2.5,0,16.02,2.733,1.143,0,55,0,0,0,20/09/2009,66.78,23.24,0.82,9.17,100.01
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,3,-11.019033,143.257867,2010,RM,202910,18,19/02/2010,2010,2,31.3,32.6,25,15,0,23.25,18.75,1.094,0,88,0,0,0,19/02/2010,34.68,22.25,37.2,5.88,100.01
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,3,-11.019033,143.257867,2011,RM,203011,19,14/05/2011,2011,5,31.2,30.5,25,2.5,0,25.5,3.409,0.739,0,45,0.054,0,0,14/05/2011,74.5,18.89,2.28,4.32,99.99
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,3,-11.019033,143.257867,2012,RM,203112,20,21/02/2012,2012,2,31.3,30,7.5,25,2.5,4.474,25,1.293,0,17,0,0,0.115384615,21/02/2012,77.76,14.6,1,6.67,100.03
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,3,-11.019033,143.257867,2013,RMRAP,203213,21,20/09/2013,2013,9,29.6,30.5,7.5,0,0,9.5,0,1.159,0,62,0,0,0,20/09/2013,66.61,15.2,14.1,4.07,99.98
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,3,-11.019033,143.257867,2014,RMRAP,203314,22,27/10/2014,2014,10,27.4,30,15,0,0,19.773,0,0.6,0,83,0,8,0,27/10/2014,84.94,8.5,1.83,4.7,99.97
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,3,-11.019033,143.257867,2015,RM,203415,23,18/02/2015,2015,2,31,32.6,25,2.5,0,26.05,6.786,0.458,0,93,0,18,0.2,18/02/2015,65.96,5.4,18.55,10.1,100.01
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,3,-11.019033,143.257867,2016,RAP,203516,24,21/10/2016,2016,10,32.7,30,25,2.5,1.25,29.208,10.95,1.25,0,75,0,8,0,21/10/2016,72.8,10.3,6.12,10.8,100.02
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,3,-11.019033,143.257867,2017,RAP,203617,25,2/08/2017,2017,8,31.3,30.5,7.5,15,2.5,8.542,16.29,1.932,0,42,0,22,0.5,2/08/2017,76.2,9.2,10.11,4.5,100.01
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,3,-11.019033,143.257867,2018,RAP,203718,26,4/01/2018,2018,1,31.2,30,7.5,0,0,15.06,2.171,0.192,0,50,0,0,0.115942029,4/01/2018,23.02,45.9,29.1,2,100.02
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,3,-11.019033,143.257867,2019,RM,203819,27,,2019,2,31.5,30.5,25,0,0,25.5,2.5,1.145,0,24,0,82,2.078947368,,16.52,33.54,21.56,28.38,100
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,3,-11.019033,143.257867,2020,RMRAP,201920,28,23/11/2019,2019,11,31.4,30,2.5,2.5,0,2.845,2.414,0.69,4,29,0.138,4,0.137931034,24/11/2019,72.39,8.41,0.36,18.84,100
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,3,-11.019033,143.257867,2021,RM,202021,29,12/12/2020,2020,12,32.6,30.5,2.5,2.5,0,5.625,2.292,0.729,2,24,0.083,4,0.166666667,12/12/2020,69.59,10.21,1.26,18.94,100
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,3,-11.019033,143.257867,2022,RAP,204122,30,10/01/2022,2022,1,31.3,30.5,25,2.5,0,21.705,2.806,0.972,0,16,0,68,3.35,10/01/2022,79.7,10.81,4.36,5.11,99.98
11016S,CG,M,MCSWEENEY REEF,-11.025,143.25,3,-11.019033,143.257867,2023,RM,204223,31,8/02/2023,2023,2,31.3,31.6,7.5,2.5,2.5,11.603,2.955,2.063,0,19,0.151,35,1.2,8/02/2023,60.85,27.5,0.7,10.91,99.96
