REEF_ID,SECTOR,SHELF,REEF_NAME,LATITUDE,LONGITUDE,P_CODE,YEAR_CODE,VISIT_NO,REPORT_YEAR,SAMPLE_DATE,SAMPLE_YEAR,SAMPLE_MONTH,REEF_YEAR_CODE_ID,TEMPERATURE,TEMPERATURE_YEAR_AVE,MEDIAN_LIVE_CORAL,MEDIAN_SOFT_CORAL,MEDIAN_DEAD_CORAL,MEAN_LIVE_CORAL,MEAN_SOFT_CORAL,MEAN_DEAD_CORAL,TOTAL_COTS,TOWS,MEAN_COTS_PER_TOW,TOTAL_TROUT,MEAN_TROUT_PER_TOW,SITE_NO,SITE_LATITUDE,SITE_LONGITUDE,SITE_SAMPLE_DATE,ALGAE_COVER,HARD_CORAL_COVER,SOFT_CORAL_COVER,OTHER_COVER
11162S,CG,M,11162S,-11.6,143.291667,RM,202021,29,2021,5/12/2020,2020,12,11162S202021,32.6,30.5,15,2.5,0,17.429,3,0.143,0,35,0,27,0.771428571,2,-11.5989,143.298,5/12/2020,62.04,16.4,1.39,20.16
11162S,CG,M,11162S,-11.6,143.291667,RM,202021,29,2021,5/12/2020,2020,12,11162S202021,32.6,30.5,15,2.5,0,17.429,3,0.143,0,35,0,27,0.771428571,3,-11.60075,143.301267,5/12/2020,59.85,13.59,1.48,24.98
16028S,CA,I,LOW ISLANDS REEF,-16.383333,145.566667,RM,199798,6,1998,1/02/1998,1998,2,16028S199798,32.1,30,35,15,2.5,37.419,16.532,2.177,3,31,0.097,0,0,1,-16.383517,145.57095,1/02/1998,36.4,30,17.1,16.5
16028S,CA,I,LOW ISLANDS REEF,-16.383333,145.566667,RM,199798,6,1998,1/02/1998,1998,2,16028S199798,32.1,30,35,15,2.5,37.419,16.532,2.177,3,31,0.097,0,0,2,-16.386483,145.5726,1/02/1998,46.87,23.54,14.67,14.93
16028S,CA,I,LOW ISLANDS REEF,-16.383333,145.566667,RM,199798,6,1998,1/02/1998,1998,2,16028S199798,32.1,30,35,15,2.5,37.419,16.532,2.177,3,31,0.097,0,0,3,-16.390217,145.57345,1/02/1998,45.9,37.5,7.6,9
16028S,CA,I,LOW ISLANDS REEF,-16.383333,145.566667,RM,199899,7,1999,25/01/1999,1999,1,16028S199899,31.6,29,15,15,2.5,23.879,16.94,2.672,6,29,0.207,0,0,1,-16.383517,145.57095,25/01/1999,42.7,20.03,16.31,20.96
16028S,CA,I,LOW ISLANDS REEF,-16.383333,145.566667,RM,199899,7,1999,25/01/1999,1999,1,16028S199899,31.6,29,15,15,2.5,23.879,16.94,2.672,6,29,0.207,0,0,2,-16.386483,145.5726,25/01/1999,49.24,19.83,14.65,16.29
16028S,CA,I,LOW ISLANDS REEF,-16.383333,145.566667,RM,199899,7,1999,25/01/1999,1999,1,16028S199899,31.6,29,15,15,2.5,23.879,16.94,2.672,6,29,0.207,0,0,3,-16.390217,145.57345,25/01/1999,55.9,24.16,9.51,10.43
16028S,CA,I,LOW ISLANDS REEF,-16.383333,145.566667,RM,199900,8,2000,28/01/2000,2000,1,16028S199900,31.3,28.7,7.5,15,2.5,12.857,13.839,2.054,0,28,0,0,0,1,-16.383517,145.57095,28/01/2000,73.66,9.77,7.34,9.24
16028S,CA,I,LOW ISLANDS REEF,-16.383333,145.566667,RM,199900,8,2000,28/01/2000,2000,1,16028S199900,31.3,28.7,7.5,15,2.5,12.857,13.839,2.054,0,28,0,0,0,2,-16.386483,145.5726,28/01/2000,71.7,9.2,10.3,8.8
16028S,CA,I,LOW ISLANDS REEF,-16.383333,145.566667,RM,199900,8,2000,28/01/2000,2000,1,16028S199900,31.3,28.7,7.5,15,2.5,12.857,13.839,2.054,0,28,0,0,0,3,-16.390217,145.57345,28/01/2000,85.41,7.65,3.72,3.22
16028S,CA,I,LOW ISLANDS REEF,-16.383333,145.566667,RM,200102,10,2002,20/09/2001,2001,9,16028S200102,29,29.4,7.5,7.5,0,12.069,12.931,0.603,0,29,0,0,0,1,-16.383517,145.57095,20/09/2001,68.7,12.8,8.4,10.1
16028S,CA,I,LOW ISLANDS REEF,-16.383333,145.566667,RM,200102,10,2002,20/09/2001,2001,9,16028S200102,29,29.4,7.5,7.5,0,12.069,12.931,0.603,0,29,0,0,0,2,-16.386483,145.5726,20/09/2001,70.52,10.53,9.93,9.03
16028S,CA,I,LOW ISLANDS REEF,-16.383333,145.566667,RM,200102,10,2002,20/09/2001,2001,9,16028S200102,29,29.4,7.5,7.5,0,12.069,12.931,0.603,0,29,0,0,0,3,-16.390217,145.57345,20/09/2001,82.23,9.69,5.58,2.5
16028S,CA,I,LOW ISLANDS REEF,-16.383333,145.566667,RM,200304,12,2004,13/01/2004,2004,1,16028S200304,31.9,29.1,15,15,2.5,16.25,16.25,2,0,30,0,0,0,1,-16.383517,145.57095,13/01/2004,65.96,12.59,10.36,11.09
16028S,CA,I,LOW ISLANDS REEF,-16.383333,145.566667,RM,200304,12,2004,13/01/2004,2004,1,16028S200304,31.9,29.1,15,15,2.5,16.25,16.25,2,0,30,0,0,0,2,-16.386483,145.5726,13/01/2004,69.35,12.08,7.93,10.64
16028S,CA,I,LOW ISLANDS REEF,-16.383333,145.566667,RM,200304,12,2004,13/01/2004,2004,1,16028S200304,31.9,29.1,15,15,2.5,16.25,16.25,2,0,30,0,0,0,3,-16.390217,145.57345,13/01/2004,76.83,10.28,6.43,6.47
13124S,PC,M,13124S,-13.866667,144.091667,RM,201819,27,2019,10/01/2019,2019,1,13124S201819,31.3,31.6,15,2.5,2.5,19.228,5.551,2.243,0,68,0,0,0,1,-13.8659,144.093167,12/01/2019,53,21.96,13.59,11.44
13124S,PC,M,13124S,-13.866667,144.091667,RM,201819,27,2019,10/01/2019,2019,1,13124S201819,31.3,31.6,15,2.5,2.5,19.228,5.551,2.243,0,68,0,0,0,2,-13.868833,144.092083,12/01/2019,44.5,32.45,16.22,6.82
13124S,PC,M,13124S,-13.866667,144.091667,RM,201819,27,2019,10/01/2019,2019,1,13124S201819,31.3,31.6,15,2.5,2.5,19.228,5.551,2.243,0,68,0,0,0,3,-13.872233,144.092217,13/01/2019,42.93,36.58,16.61,3.87
16028S,CA,I,LOW ISLANDS REEF,-16.383333,145.566667,RM,200607,15,2007,13/01/2007,2007,1,16028S200607,32,29.3,25,15,0,24.5,16.3,0.6,0,25,0,2,0.08,1,-16.383517,145.57095,13/01/2007,57.2,15.3,10.7,16.8
16028S,CA,I,LOW ISLANDS REEF,-16.383333,145.566667,RM,200607,15,2007,13/01/2007,2007,1,16028S200607,32,29.3,25,15,0,24.5,16.3,0.6,0,25,0,2,0.08,2,-16.386483,145.5726,13/01/2007,62.1,17.8,7,13.1
16028S,CA,I,LOW ISLANDS REEF,-16.383333,145.566667,RM,200607,15,2007,13/01/2007,2007,1,16028S200607,32,29.3,25,15,0,24.5,16.3,0.6,0,25,0,2,0.08,3,-16.390217,145.57345,13/01/2007,64.1,21.4,7.4,7.1
16028S,CA,I,LOW ISLANDS REEF,-16.383333,145.566667,RM,201617,25,2017,17/12/2016,2016,12,16028S201617,32.5,30.2,35,7.5,2.5,44.861,16.944,3.148,0,27,0,2,0.074074074,1,-16.383517,145.57095,5/09/2016,49.6,21.3,19.4,9.7
16028S,CA,I,LOW ISLANDS REEF,-16.383333,145.566667,RM,201617,25,2017,17/12/2016,2016,12,16028S201617,32.5,30.2,35,7.5,2.5,44.861,16.944,3.148,0,27,0,2,0.074074074,2,-16.386483,145.5726,6/09/2016,47.2,31.8,15.1,5.9
16028S,CA,I,LOW ISLANDS REEF,-16.383333,145.566667,RM,201617,25,2017,17/12/2016,2016,12,16028S201617,32.5,30.2,35,7.5,2.5,44.861,16.944,3.148,0,27,0,2,0.074074074,3,-16.390217,145.57345,6/09/2016,43,37.8,16.4,2.8
13124S,PC,M,13124S,-13.866667,144.091667,RM,202021,29,2021,17/12/2020,2020,12,13124S202021,34.8,32.6,25,7.5,2.5,24.978,9.655,1.509,0,58,0,9,0.155172414,1,-13.8659,144.093167,3/12/2020,50.58,28.6,11,9.82
13124S,PC,M,13124S,-13.866667,144.091667,RM,202021,29,2021,17/12/2020,2020,12,13124S202021,34.8,32.6,25,7.5,2.5,24.978,9.655,1.509,0,58,0,9,0.155172414,2,-13.868833,144.092083,3/12/2020,45.91,34.42,13.57,6.09
13124S,PC,M,13124S,-13.866667,144.091667,RM,202021,29,2021,17/12/2020,2020,12,13124S202021,34.8,32.6,25,7.5,2.5,24.978,9.655,1.509,0,58,0,9,0.155172414,3,-13.872233,144.092217,3/12/2020,43.07,28.29,15.16,13.47
16028S,CA,I,LOW ISLANDS REEF,-16.383333,145.566667,RM,201819,27,2019,29/11/2018,2018,11,16028S201819,31.8,29.9,25,2.5,0,26.935,3.306,1.129,0,31,0,5,0.161290323,1,-16.383517,145.57095,29/11/2018,61.53,16.69,11.12,10.66
16028S,CA,I,LOW ISLANDS REEF,-16.383333,145.566667,RM,201819,27,2019,29/11/2018,2018,11,16028S201819,31.8,29.9,25,2.5,0,26.935,3.306,1.129,0,31,0,5,0.161290323,2,-16.386483,145.5726,29/11/2018,60.61,22.92,11.65,4.82
16028S,CA,I,LOW ISLANDS REEF,-16.383333,145.566667,RM,201819,27,2019,29/11/2018,2018,11,16028S201819,31.8,29.9,25,2.5,0,26.935,3.306,1.129,0,31,0,5,0.161290323,3,-16.390217,145.57345,29/11/2018,52.33,32.82,8.95,5.8
13124S,PC,M,13124S,-13.866667,144.091667,RMRAP,201920,28,2020,8/12/2019,2019,12,13124S201920,36.5,31.6,15,2.5,0,20.544,4.718,1.008,8,62,0.129,3,0.048387097,1,-13.8659,144.093167,9/12/2019,50.43,17.7,9.34,22.53
13124S,PC,M,13124S,-13.866667,144.091667,RMRAP,201920,28,2020,8/12/2019,2019,12,13124S201920,36.5,31.6,15,2.5,0,20.544,4.718,1.008,8,62,0.129,3,0.048387097,2,-13.868833,144.092083,9/12/2019,49.49,28.77,10.59,11.16
13124S,PC,M,13124S,-13.866667,144.091667,RMRAP,201920,28,2020,8/12/2019,2019,12,13124S201920,36.5,31.6,15,2.5,0,20.544,4.718,1.008,8,62,0.129,3,0.048387097,3,-13.872233,144.092217,9/12/2019,48.28,30.33,13.04,8.34
16028S,CA,I,LOW ISLANDS REEF,-16.383333,145.566667,RM,202021,29,2021,13/01/2021,2021,1,16028S202021,31,30,15,7.5,0,21.797,8.125,0.625,0,32,0,5,0.15625,1,-16.383517,145.57095,13/01/2021,53.51,22.13,10.78,13.49
16028S,CA,I,LOW ISLANDS REEF,-16.383333,145.566667,RM,202021,29,2021,13/01/2021,2021,1,16028S202021,31,30,15,7.5,0,21.797,8.125,0.625,0,32,0,5,0.15625,2,-16.386483,145.5726,13/01/2021,60.21,17.82,11.5,10.27
16028S,CA,I,LOW ISLANDS REEF,-16.383333,145.566667,RM,202021,29,2021,13/01/2021,2021,1,16028S202021,31,30,15,7.5,0,21.797,8.125,0.625,0,32,0,5,0.15625,3,-16.390217,145.57345,13/01/2021,52.1,34.48,10.11,3.31
16049S,CA,I,GREEN ISLAND REEF,-16.758333,145.98,RM,199293,1,1993,4/09/1992,1992,9,16049S199293,29.3,29.4,5,0,0,9.063,0,1.354,0,48,0,0,0,1,-16.775317,145.98045,17/06/1993,61.94,11,9.72,17.35
16049S,CA,I,GREEN ISLAND REEF,-16.758333,145.98,RM,199293,1,1993,4/09/1992,1992,9,16049S199293,29.3,29.4,5,0,0,9.063,0,1.354,0,48,0,0,0,2,-16.772867,145.976683,17/06/1993,72.71,9.08,0.89,17.32
16049S,CA,I,GREEN ISLAND REEF,-16.758333,145.98,RM,199293,1,1993,4/09/1992,1992,9,16049S199293,29.3,29.4,5,0,0,9.063,0,1.354,0,48,0,0,0,3,-16.76995,145.973567,17/06/1993,68.03,8.28,0.44,23.25
16049S,CA,I,GREEN ISLAND REEF,-16.758333,145.98,RM,199394,2,1994,16/02/1994,1994,2,16049S199394,31.2,29.1,2.5,0,0,6.419,0,0.811,1,37,0.027,0,0,1,-16.775317,145.98045,7/02/1994,52.8,11.57,13.21,22.41
16049S,CA,I,GREEN ISLAND REEF,-16.758333,145.98,RM,199394,2,1994,16/02/1994,1994,2,16049S199394,31.2,29.1,2.5,0,0,6.419,0,0.811,1,37,0.027,0,0,2,-16.772867,145.976683,7/02/1994,70.25,6.01,0.89,22.85
16049S,CA,I,GREEN ISLAND REEF,-16.758333,145.98,RM,199394,2,1994,16/02/1994,1994,2,16049S199394,31.2,29.1,2.5,0,0,6.419,0,0.811,1,37,0.027,0,0,3,-16.76995,145.973567,7/02/1994,68.53,9.19,0.44,21.83
16049S,CA,I,GREEN ISLAND REEF,-16.758333,145.98,RM,199495,3,1995,18/04/1995,1995,4,16049S199495,31.2,29.4,7.5,0,0,9.057,0,0.943,1,53,0.019,0,0,1,-16.775317,145.98045,17/04/1995,61.56,14.97,11.84,11.63
16049S,CA,I,GREEN ISLAND REEF,-16.758333,145.98,RM,199495,3,1995,18/04/1995,1995,4,16049S199495,31.2,29.4,7.5,0,0,9.057,0,0.943,1,53,0.019,0,0,2,-16.772867,145.976683,18/04/1995,67.75,14.33,0.57,17.35
16049S,CA,I,GREEN ISLAND REEF,-16.758333,145.98,RM,199495,3,1995,18/04/1995,1995,4,16049S199495,31.2,29.4,7.5,0,0,9.057,0,0.943,1,53,0.019,0,0,3,-16.76995,145.973567,17/04/1995,75.38,8.13,1.13,15.35
16049S,CA,I,GREEN ISLAND REEF,-16.758333,145.98,RM,199596,4,1996,25/01/1996,1996,1,16049S199596,32.3,29.3,7.5,0,2.5,16.223,0,1.489,1,47,0.021,0,0,1,-16.775317,145.98045,24/01/1996,52.04,20.93,14.2,12.82
16049S,CA,I,GREEN ISLAND REEF,-16.758333,145.98,RM,199596,4,1996,25/01/1996,1996,1,16049S199596,32.3,29.3,7.5,0,2.5,16.223,0,1.489,1,47,0.021,0,0,2,-16.772867,145.976683,24/01/1996,61.36,14.81,1.5,22.33
16049S,CA,I,GREEN ISLAND REEF,-16.758333,145.98,RM,199596,4,1996,25/01/1996,1996,1,16049S199596,32.3,29.3,7.5,0,2.5,16.223,0,1.489,1,47,0.021,0,0,3,-16.76995,145.973567,24/01/1996,71.88,8.48,1.79,17.85
16049S,CA,I,GREEN ISLAND REEF,-16.758333,145.98,RM,199697,5,1997,19/01/1997,1997,1,16049S199697,30.5,28.6,7.5,0,0,9.202,0,1.011,0,47,0,0,0,1,-16.775317,145.98045,18/01/1997,56.56,15.69,11.36,16.39
16049S,CA,I,GREEN ISLAND REEF,-16.758333,145.98,RM,199697,5,1997,19/01/1997,1997,1,16049S199697,30.5,28.6,7.5,0,0,9.202,0,1.011,0,47,0,0,0,2,-16.772867,145.976683,18/01/1997,73.8,5.8,1.1,19.3
16049S,CA,I,GREEN ISLAND REEF,-16.758333,145.98,RM,199697,5,1997,19/01/1997,1997,1,16049S199697,30.5,28.6,7.5,0,0,9.202,0,1.011,0,47,0,0,0,3,-16.76995,145.973567,18/01/1997,80.5,1.9,0.6,17
16049S,CA,I,GREEN ISLAND REEF,-16.758333,145.98,RM,199798,6,1998,2/02/1998,1998,2,16049S199798,32.1,30,2.5,7.5,2.5,4.439,10.867,3.878,5,49,0.102,0,0,1,-16.775317,145.98045,3/02/1998,60.18,15.43,13.73,10.66
16049S,CA,I,GREEN ISLAND REEF,-16.758333,145.98,RM,199798,6,1998,2/02/1998,1998,2,16049S199798,32.1,30,2.5,7.5,2.5,4.439,10.867,3.878,5,49,0.102,0,0,2,-16.772867,145.976683,3/02/1998,70.7,3.81,1.71,23.78
16049S,CA,I,GREEN ISLAND REEF,-16.758333,145.98,RM,199798,6,1998,2/02/1998,1998,2,16049S199798,32.1,30,2.5,7.5,2.5,4.439,10.867,3.878,5,49,0.102,0,0,3,-16.76995,145.973567,3/02/1998,80.96,1.81,0.6,16.63
16049S,CA,I,GREEN ISLAND REEF,-16.758333,145.98,RM,199899,7,1999,2/02/1999,1999,2,16049S199899,30.9,29,2.5,7.5,2.5,5.185,11.806,1.898,1,54,0.019,0,0,1,-16.775317,145.98045,4/02/1999,58.05,10.84,18.43,12.68
16049S,CA,I,GREEN ISLAND REEF,-16.758333,145.98,RM,199899,7,1999,2/02/1999,1999,2,16049S199899,30.9,29,2.5,7.5,2.5,5.185,11.806,1.898,1,54,0.019,0,0,2,-16.772867,145.976683,4/02/1999,70.29,4.64,0.91,24.16
16049S,CA,I,GREEN ISLAND REEF,-16.758333,145.98,RM,199899,7,1999,2/02/1999,1999,2,16049S199899,30.9,29,2.5,7.5,2.5,5.185,11.806,1.898,1,54,0.019,0,0,3,-16.76995,145.973567,4/02/1999,74.96,3.31,0.6,21.12
16049S,CA,I,GREEN ISLAND REEF,-16.758333,145.98,RM,200102,10,2002,24/09/2001,2001,9,16049S200102,29,29.4,2.5,2.5,0,4.415,8.511,0.16,0,47,0,0,0,1,-16.775317,145.98045,24/09/2001,62.17,9.78,13.4,14.65
16049S,CA,I,GREEN ISLAND REEF,-16.758333,145.98,RM,200102,10,2002,24/09/2001,2001,9,16049S200102,29,29.4,2.5,2.5,0,4.415,8.511,0.16,0,47,0,0,0,2,-16.772867,145.976683,24/09/2001,75.5,3.7,1.1,19.7
16049S,CA,I,GREEN ISLAND REEF,-16.758333,145.98,RM,200102,10,2002,24/09/2001,2001,9,16049S200102,29,29.4,2.5,2.5,0,4.415,8.511,0.16,0,47,0,0,0,3,-16.76995,145.973567,24/09/2001,81.4,0.9,0.2,17.5
16049S,CA,I,GREEN ISLAND REEF,-16.758333,145.98,RM,200203,11,2003,24/10/2002,2002,10,16049S200203,30.7,29.8,2.5,2.5,0,3.056,7,0.722,0,45,0,0,0,1,-16.775317,145.98045,24/10/2002,65.1,10.2,14.8,9.9
16049S,CA,I,GREEN ISLAND REEF,-16.758333,145.98,RM,200203,11,2003,24/10/2002,2002,10,16049S200203,30.7,29.8,2.5,2.5,0,3.056,7,0.722,0,45,0,0,0,2,-16.772867,145.976683,24/10/2002,75.53,4.11,0.5,19.85
16049S,CA,I,GREEN ISLAND REEF,-16.758333,145.98,RM,200203,11,2003,24/10/2002,2002,10,16049S200203,30.7,29.8,2.5,2.5,0,3.056,7,0.722,0,45,0,0,0,3,-16.76995,145.973567,24/10/2002,83.5,0.6,0.4,15.5
16049S,CA,I,GREEN ISLAND REEF,-16.758333,145.98,RM,200304,12,2004,14/01/2004,2004,1,16049S200304,31.9,29.1,2.5,7.5,0,5.357,9.235,1.071,0,49,0,0,0,1,-16.775317,145.98045,14/01/2004,62.32,13.33,15.14,9.22
16049S,CA,I,GREEN ISLAND REEF,-16.758333,145.98,RM,200304,12,2004,14/01/2004,2004,1,16049S200304,31.9,29.1,2.5,7.5,0,5.357,9.235,1.071,0,49,0,0,0,2,-16.772867,145.976683,14/01/2004,69.52,6.11,1.5,22.87
16049S,CA,I,GREEN ISLAND REEF,-16.758333,145.98,RM,200304,12,2004,14/01/2004,2004,1,16049S200304,31.9,29.1,2.5,7.5,0,5.357,9.235,1.071,0,49,0,0,0,3,-16.76995,145.973567,15/01/2004,80.32,2.54,1.27,15.87
16049S,CA,I,GREEN ISLAND REEF,-16.758333,145.98,RM,200405,13,2005,1/02/2005,2005,2,16049S200405,32.6,29.4,2.5,7.5,0,4.423,9.231,0.673,0,52,0,0,0,1,-16.775317,145.98045,1/02/2005,59.8,14.15,15.49,10.56
16049S,CA,I,GREEN ISLAND REEF,-16.758333,145.98,RM,200405,13,2005,1/02/2005,2005,2,16049S200405,32.6,29.4,2.5,7.5,0,4.423,9.231,0.673,0,52,0,0,0,2,-16.772867,145.976683,1/02/2005,69.63,8.92,1,20.44
16049S,CA,I,GREEN ISLAND REEF,-16.758333,145.98,RM,200405,13,2005,1/02/2005,2005,2,16049S200405,32.6,29.4,2.5,7.5,0,4.423,9.231,0.673,0,52,0,0,0,3,-16.76995,145.973567,1/02/2005,78.43,5.55,1.11,14.92
16049S,CA,I,GREEN ISLAND REEF,-16.758333,145.98,RM,200607,15,2007,4/01/2007,2007,1,16049S200607,32,29.3,2.5,7.5,0,6.5,10.95,0.75,0,50,0,14,0.28,1,-16.775317,145.98045,4/01/2007,50.9,21,18.2,9.9
16049S,CA,I,GREEN ISLAND REEF,-16.758333,145.98,RM,200607,15,2007,4/01/2007,2007,1,16049S200607,32,29.3,2.5,7.5,0,6.5,10.95,0.75,0,50,0,14,0.28,2,-16.772867,145.976683,4/01/2007,59.8,12.4,2.9,24.9
16049S,CA,I,GREEN ISLAND REEF,-16.758333,145.98,RM,200607,15,2007,4/01/2007,2007,1,16049S200607,32,29.3,2.5,7.5,0,6.5,10.95,0.75,0,50,0,14,0.28,3,-16.76995,145.973567,4/01/2007,71.44,6.52,0.6,21.44
16049S,CA,I,GREEN ISLAND REEF,-16.758333,145.98,RM,201213,21,2013,15/01/2013,2013,1,16049S201213,32.7,29.6,2.5,7.5,2.5,8.393,14.04,1.696,32,56,0.571,8,0.142857143,1,-16.775317,145.98045,15/01/2013,54.7,19.2,21,5.1
