SECTOR,SHELF,REEF_NAME,REEF_ID,YEAR_CODE,REEF_YEAR_CODE_ID,LATITUDE,LONGITUDE,P_CODE,VISIT_NO,REPORT_YEAR,SAMPLE_DATE,SAMPLE_YEAR,SAMPLE_MONTH,TEMPERATURE,TEMPERATURE_YEAR_AVE,MEDIAN_LIVE_CORAL,MEDIAN_SOFT_CORAL,MEDIAN_DEAD_CORAL,MEAN_LIVE_CORAL,MEAN_SOFT_CORAL,MEAN_DEAD_CORAL,TOTAL_COTS,TOWS,MEAN_COTS_PER_TOW,TOTAL_TROUT,MEAN_TROUT_PER_TOW,SITE_NO,SITE_LATITUDE,SITE_LONGITUDE,SITE_SAMPLE_DATE,ALGAE_COVER,HARD_CORAL_COVER,SOFT_CORAL_COVER,OTHER_COVER
TO,O,ST CRISPIN REEF,16068S,200403,14126S200607,-18.153493,147.515146,RAP,25,2018,21/04/2012,2017,8,31.4,28.9,3.818,2.53,0.05,2.5,2.449,1.694,1,58,0,23,0.990355335,1,-14.722587,147.165944,24/10/2002,58.51,4.44,0,2.51
IN,M,HELIX REEF,14123S,202021,11016S201920,-18.058567,147.012944,RMRAP,26,2021,7/05/2016,2021,5,31.4,28.6,3.701,2.66,2.48,2.5,3.506,0.363,2,22,0.006,37,0.824256765,1,-18.582584,143.472789,28/01/2019,56.71,0.53,3.06,6.93
SW,O,CARTER REEF,18075S,201971,16015S202021,-21.308277,143.25,RMRAP,29,2019,17/08/2014,2019,9,28.3,29,25.257,2.47,2.47,4.034,2.838,1.203,2,111,0,34,0.572666783,1,-21.678488,151.759965,4/09/2000,15.68,36.78,1.26,2.4
WH,M,BORDER ISLAND REEF (NO 1),20104S,200246,20014S199899,-19.54513,148.820903,RM,2,1999,3/04/1994,2000,3,27.9,26.1,36.764,33.58,2.48,15.693,0.289,2.205,4,34,0.048,1,0,3,-19.704213,150.263056,2/05/2005,25.77,17.83,1.21,26.02
SW,M,DAVIE REEF,14123S,201653,14138S199899,-14.140017,145.81538,RAP,29,2008,24/03/2014,2020,9,30.6,27.8,15.808,2.61,0,5.077,2.362,0.961,0,29,0,14,0.268139768,3,-18.606705,146.01169,27/01/2019,66.72,6.06,1.11,2.29
WH,O,ONE TREE REEF,11029S,199937,20014S200001,-19.395872,149.113695,RM,5,1997,19/04/1997,1994,3,26,25.7,25.466,0,2.44,18.139,0.701,0.896,1,20,0,2,0.01737282,1,-19.945322,149.816609,24/02/1998,15.61,67.17,20.65,7.69
TO,M,21139S,16015S,201419,12056S202021,-16.895547,144.521435,RAP,14,2010,12/11/1994,2015,9,30.9,28.6,8.494,2.42,0,4.505,10.269,1.481,3,53,0,8,0.015404378,1,-18.948188,143.25005,27/01/2019,75.22,3.88,19.67,2.65
WH,I,TERN REEF(20309),23051S,199868,20014S199899,-19.331629,148.300057,RM,3,1995,2/04/2009,2004,3,30.2,26.8,26.016,39.52,0,11.996,0.2,2.168,1,103,0.031,1,0.025785864,1,-20.030147,148.167431,1/12/2002,38.5,28.7,1.03,53.13
CB,M,FORK REEF,19209S,201736,18031S201920,-23.149226,143.495051,RMRAP,25,2021,25/09/2006,2003,1,31.6,27.1,3.898,2.54,0,2.5,2.879,0.329,0,58,0,21,0.425651466,2,-21.801548,152.538599,28/11/1997,65.59,7.16,0.6,2.64
TO,M,PENRITH REEF,14143S,201527,14139S199596,-18.364481,147.332959,RM,20,2010,20/05/2008,2007,4,35.6,29,8.47,2.52,2.49,11.422,2.372,0.354,1,57,1.957,11,0.206015068,3,-18.896281,144.189791,5/12/2020,70.51,3.09,10.07,3.18
PO,O,HAVANNAH REEF,21572S,202021,16057S201314,-14.061346,146.693296,RM,27,2008,26/05/1997,2020,5,29.1,27.5,4.283,2.56,0,24.425,2.779,0.529,0,48,0,12,0.151029297,3,-18.620455,152.036798,30/04/2005,60.88,27.79,1.15,4.1
CA,M,LINNET REEF,21572S,199775,18034S199899,-19.947283,148.875227,RAP,8,1994,11/12/2018,2002,2,21.5,28.6,25.859,13.98,2.49,11.828,3.004,1.371,3,32,0,0,0,3,-17.204379,150.732968,26/03/2000,21.07,22.42,13.66,3.5
PO,O,CHINAMAN REEF(22102),18077S,201552,21556S200809,-23.001931,152.038917,RAP,14,2014,5/08/2001,2009,7,23.6,26.9,62.649,2.37,2.47,41.42,2.998,2.498,0,31,0.077,24,0.009292826,2,-23.597053,152.327491,11/11/2006,24.6,13.12,20.05,2.01
SW,M,EAST CAY REEF,14016S,201242,16019S200506,-21.44375,151.988138,RAP,27,2018,11/09/2002,2009,5,27.4,26.7,25.429,2.57,2.48,39.145,6.217,0.953,2,55,0,88,0.865625432,1,-23.545825,151.776628,9/09/2002,31.31,19.85,0.33,2.56
CL,O,EAST CAY REEF,22102S,201654,16025S2201415,-21.607572,152.248612,RM,29,2008,5/08/2001,2015,10,25.9,27.7,37.774,2.61,2.49,34.051,2.451,1.399,3,72,0,122,0.785314418,3,-23.890883,151.986285,21/10/2003,48.48,56.06,2.72,2.7
SW,O,JOHN BREWER REEF,17024S,201133,23080S201718,-21.438906,152.328607,RAP,26,2014,4/01/2020,2013,10,24.7,27.3,57.237,2.46,2.47,27.967,3.325,1.219,2,53,0,76,0.471250077,1,-22.161722,152.325909,20/10/2003,43.59,26.15,0.66,4.43
IN,M,HORSESHOE,18076S,201107,20353S200708,-16.18656,145.501544,RAP,23,2005,4/12/2011,2012,10,30.7,26.2,5.058,2.52,2.54,25.325,2.685,2.185,0,54,0.024,0,0.003240387,1,-20.943399,145.781656,3/09/2016,35.93,29.47,2.7,5.09
CL,M,20348S,18030S,201380,14138S199697,-18.274522,147.619031,RAP,14,2015,26/08/2014,2006,9,29.2,29.4,3.515,2.46,2.48,2.5,2.229,0.265,3,62,0,8,0.493596995,1,-18.65386,147.560709,30/04/2016,77.31,18.83,29.63,6
PO,O,MOORE REEF,22104S,201839,13124S201920,-18.823213,146.998852,RMRAP,20,2013,13/04/2010,2015,5,28.9,28.5,8.042,2.48,2.5,3.755,3.027,3.139,4,23,0,0,0.263172386,3,-18.695549,147.244234,13/12/2017,35.86,28.24,3.56,3.14
CB,O,HOSKYN ISLANDS REEF,19207S,200976,16019S200506,-20.629526,152.167229,RAP,17,2015,13/09/2013,2015,8,29.3,28.2,8.621,2.63,2.5,25.833,3.031,0.843,2,100,0.007,63,0.567353243,3,-20.714456,152.009208,29/10/1992,11.53,45.1,1.43,4.17
CA,I,PENRITH REEF,14114S,199471,14123S200102,-15.588751,145.814121,RMRAP,19,2008,9/01/2012,2008,10,31.7,28.8,7.488,2.52,0,8.052,5.509,0.655,2,96,0,2,0.322970348,3,-17.262181,145.42475,10/09/2002,55.9,5.99,10.14,1.06
CL,O,FEATHER REEF,23048S,199323,18034S201213,-19.609326,149.455981,RM,3,1998,26/02/2017,1993,3,30.2,26.5,15.576,0,2.43,19.557,0.084,1.003,0,31,0,0,0.032188871,3,-20.197322,149.919197,2/05/2005,20.26,20.18,0.4,11.83
SW,O,CHINAMAN REEF(22102),19207S,200022,16015S202021,-22.788628,145.626386,RM,29,2010,27/11/2008,2009,1,29.9,27.2,25.725,2.64,2.46,9.677,16.696,0.171,1,70,0.029,2,0.206929219,1,-23.453746,152.012549,28/11/2005,26.32,9.35,0.67,7.36
PO,O,JENKINS REEF,16028S,199625,21060S201112,-21.678617,151.827316,RMRAP,25,2009,7/05/2006,2019,11,25.7,25.3,28.527,2.44,2.44,26.933,5.579,2.283,4,53,0,23,1.822251711,1,-21.702133,151.940422,25/11/2004,31.84,16.4,29.43,15.54
CA,I,CHINAMAN REEF(22102),20353S,200310,16049S202021,-15.801592,145.604781,RAP,25,2009,21/07/2000,2002,7,31.3,28.9,14.963,2.45,2.46,16.998,3.145,0.97,3,49,0,2,0.02370725,1,-17.062046,145.366027,8/03/2015,31.29,23.66,4.01,40.73
CA,O,21296S,20104S,200258,20014S200001,-18.27937,149.434381,RM,2,2006,8/12/2013,2012,7,29.1,28.4,25.374,2.49,2.47,27.047,2.926,1.591,2,85,0.041,0,0,2,-19.76933,149.720905,2/05/2005,50.8,8.69,12.2,9.75
SW,M,MANTIS REEF,21556S,201075,16057S199798,-20.506229,151.963889,RM,24,2017,11/03/2006,2009,11,28.1,27.1,37.294,2.52,2.46,20.274,6.126,1.066,0,93,0.01,9,0.277617143,2,-21.809516,146.000597,29/01/2008,29.22,34.59,0,2.55
CA,I,CORBETT REEF,23079S,199824,18039S199798,-21.674118,149.246993,RM,6,2012,3/02/2005,1996,2,26.6,29.1,24.902,2.52,2.42,13.395,2.661,0.905,0,75,0.027,1,0,2,-19.90457,145.457574,10/11/2001,43.79,13.78,3.51,32.31
WH,I,HAYMAN ISLAND REEF,20014S,199838,20014S199697,-19.613108,149.653303,RM,5,2008,18/01/2020,2009,9,29.1,26.4,7.774,39.01,2.47,29.599,0.835,0,3,35,0,1,0.005276213,1,-20.108338,148.528936,5/02/2021,38.12,3.46,0,5.98
SW,O,RIB REEF,18034S,201645,23051S199293,-16.562061,149.69861,RM,6,2010,20/08/2014,2013,2,30.2,25.6,2.56,2.55,2.51,15.136,2.78,1.839,1,49,0,10,0.367909575,1,-21.898319,151.876484,4/07/2006,67.33,26.99,1.8,1.85
CL,O,21296S,21302S,200818,14137S200809,-12.454537,145.642033,RAP,22,2010,31/10/2003,2015,9,27,25.6,30.05,5.11,2.46,18.087,4.013,1.421,19,51,0,19,1.719851369,1,-21.146879,143.25005,18/09/2013,25.83,13.11,5.36,13.65
TO,M,MARTIN REEF(14123),19131S,201882,12061S202021,-16.228991,145.343612,RM,28,2021,2/05/2005,2015,4,29.6,29.1,15.603,2.39,0,7.742,3.127,0.551,3,69,0,7,0.059005085,1,-18.85634,145.786929,30/04/2005,53.09,8.95,3.36,8.86
CA,O,YONGE REEF,18032S,202008,11016S201920,-16.180676,146.268194,RM,25,2021,24/11/1999,2016,2,28.2,28.2,8.316,2.51,0,8.036,3.52,0.181,4,95,0,15,0.285811465,2,-17.108044,145.800218,10/05/2011,56.8,0.1,5.76,11.72
PC,M,KNIFE REEF,23081S,200883,18076S201314,-21.332675,152.17908,RAP,23,2018,14/05/2000,2018,5,30.8,27.4,8.195,2.52,2.47,16.476,2.946,2.008,2,50,0.048,65,2.127505679,1,-23.63279,151.795139,5/10/1995,42.43,35.26,29.66,2.16
PO,O,19138S,14114S,201969,23080S201314,-21.752409,152.108659,RM,29,2016,11/09/2002,2020,11,32,28.4,4.337,2.42,2.49,11.368,4.662,1.374,36,102,0,115,0.54026685,2,-21.381356,145.269348,9/10/1998,46.18,30.6,1.29,2.52
CA,I,21187S,16060S,200848,13124S202021,-15.550036,145.29147,RMRAP,29,2001,8/07/2001,2017,9,26.9,27.5,15.011,2.55,2.44,18.617,4.938,1.036,2,96,0,1,0.045098762,3,-22.103341,145.591635,29/01/2001,46.44,13.81,16.12,3.01
PO,M,NORTH DIRECTION REEF,18083S,200488,16049S199495,-16.132608,145.233477,RM,20,2005,24/01/2018,2009,1,29.3,29.7,15.678,2.43,2.49,8.535,4.48,0.425,4,30,0.045,27,0,1,-16.095951,145.267594,27/11/2019,50.28,8.1,15.94,2.93
WH,M,HAYMAN ISLAND REEF,19207S,200133,19207S199798,-19.808801,148.087173,RM,8,2007,22/03/2007,2001,1,25.1,26,33.525,30.79,0.04,28.79,19.884,0.244,0,61,0,1,0.029177136,1,-15.146562,148.512925,9/12/2005,16.08,14.94,0.53,12.73
CB,O,NORTH DIRECTION REEF,21591S,201746,16019S200809,-20.679032,151.478946,RAP,28,2015,31/10/2003,2013,10,34.9,26.9,25.8,2.62,2.52,18.534,3.128,1.407,2,91,0.083,25,1.187540726,3,-23.419196,151.725832,20/10/2003,65.43,15.16,0,1.31
TO,M,HORSESHOE,18043S,200681,11016S201920,-21.692054,147.051652,RM,24,2000,20/10/2003,2002,2,29.3,28.8,25.119,7.64,0,14.286,2.616,0.755,1,28,0.042,20,0.013248392,1,-18.671133,147.142779,25/01/1999,56.94,14.09,0,10.93
WH,I,NO NAME REEF,23082S,200210,18086S201213,-19.764248,150.284967,RM,5,2014,12/12/1993,1998,2,29.2,25.4,15.34,0.1,2.49,23.686,0.57,1.05,2,94,0,0,0.031583677,3,-14.762005,147.256623,2/05/2008,40.56,22.61,0,21.08
CA,O,FITZROY ISLAND REEF,17064S,202021,17014S201112,-14.214258,145.095118,RM,28,2021,23/01/2021,2021,10,33.1,29.6,15.47,2.5,0,27.883,9.024,1.636,4,67,0.032,1,0.282883745,2,-16.159145,145.526044,13/01/2017,60.6,15.43,13.94,4.52
TO,M,11049S,16060S,202021,17016S200910,-18.247439,145.268902,RMRAP,28,2020,29/04/2009,2018,9,31.3,29.7,26.049,2.59,2.48,4.072,2.265,0.37,4,26,0,18,0.335422953,3,-18.790612,143.501652,5/12/2020,74.01,11.6,0.3,2.53
TO,M,MOORE REEF,17034S,202021,11016S201920,-18.308129,145.144942,RM,28,2018,30/04/2000,2005,1,27.9,28.8,5.439,2.49,0,3.15,3.227,0.538,0,96,0,14,0.350593198,1,-16.921163,146.892943,30/04/2000,68.94,0.1,0,7.88
CG,M,CORBETT REEF,22104S,201141,17016S200910,-21.564127,147.684892,RAP,20,2010,1/05/2014,2014,9,21.9,27.7,24.945,2.56,2.53,20.789,2.196,0.539,2,43,0,26,0.403465147,3,-21.673034,143.619894,8/01/2004,34.08,29.13,0.37,15.23
SW,O,BOULT REEF,19138S,199801,16028S199697,-18.11845,143.56139,RM,22,2015,7/05/2016,2007,8,30.5,29.6,4.038,2.55,2.5,12.165,0.309,4.21,2,23,0.006,1,0.425434611,1,-23.624201,146.059005,8/03/2015,20.94,1.09,0.56,4.53
CA,M,21558S,16025S2,201195,12061S202021,-18.152331,143.824703,RMRAP,7,2009,7/12/1998,2017,2,31.6,29.5,8.096,2.71,0,13.884,15.206,1.798,1,123,0.46,7,0.283209523,3,-16.660297,145.468552,24/10/2002,60.96,9.83,1.48,4.32
CB,O,NORTH REEF (NORTH),14116S,201399,16019S200506,-22.566733,152.23203,RAP,24,2021,4/01/2020,2020,1,31.5,25.3,25.94,2.64,2.51,35.073,2.601,1.807,2,44,0,8,0.523497104,2,-23.483784,145.178429,10/11/2006,31.06,21.48,0.75,24.59
TO,M,RIB REEF,18086S,201391,14138S199899,-17.538356,146.722031,RM,27,1995,16/04/2012,2006,4,27.7,28.8,15.538,2.45,0,2.5,2.711,0.632,2,50,0,1,0.122440649,1,-18.966683,147.201501,11/05/2016,59.86,8.52,1.47,3.96
CL,O,NO NAME REEF,16068S,201845,16028S199697,-19.621589,145.330542,RM,19,2008,29/09/1995,1999,2,30.3,26.5,24.833,33.63,0,24.941,0.357,1.042,1,42,0,2,0.025477055,2,-19.83083,146.083555,30/03/2010,51.21,12.12,0.9,5.94
PO,M,KNIFE REEF,19131S,199844,21064S201516,-15.747824,145.642707,RM,6,2000,25/01/1996,1999,1,30.7,28.5,37.507,14.78,0,15.293,35.2,0.756,3,66,0,0,0.019422482,1,-14.748519,145.948487,6/01/2013,72.67,9.61,11.23,8.81
CA,I,FITZROY ISLAND REEF,18065S,200578,23082S201920,-15.728558,145.299627,RM,25,2020,8/11/1996,2016,7,32.3,29.5,36.102,2.59,0,2.5,2.155,1.601,0,76,0.338,6,0.278091467,2,-16.24163,145.666969,9/03/2006,63.72,20.11,2.56,12.74
CG,M,RIB REEF,21187S,201960,14138S199798,-20.92713,147.370302,RAP,23,2021,24/03/2014,2002,9,31.8,28.9,15.533,2.57,1.22,2.5,5.064,1.072,0,54,0,128,0.443855872,2,-18.732028,144.510097,1/12/2010,25.23,16.54,1.23,4.18
CL,O,EAST CAY REEF,11162S,201894,18076S200910,-21.602567,152.658333,RAP,29,2019,30/10/2003,2018,1,29.5,29.8,58.186,2.61,2.48,34.556,3.643,2.052,1,24,0,92,0.774548942,3,-21.700458,152.264969,11/11/2006,41.6,20.31,1.51,0.78
SW,O,MACGILLIVRAY REEF,17064S,201211,16049S199899,-18.445077,145.253076,RAP,25,2016,24/03/2014,2003,5,28.7,28.5,15.08,2.72,2.47,6.665,9.95,1.899,1,42,0,46,0.533231784,1,-18.797184,151.813889,20/09/2001,87.23,11.34,1.94,5.17
CG,O,MCSWEENEY REEF,16028S,202021,21245S201920,-14.562011,148.64539,RM,7,2021,21/07/2000,2017,9,28,30.3,15.688,0.43,2.44,16.299,2.351,0.912,3,61,0,2,0.007921789,3,-17.018001,145.090304,26/05/2020,85.03,16.23,14.39,5.28
CL,I,21139S,17016S,199644,21064S201516,-21.268868,146.172623,RM,20,2017,17/12/2020,2013,8,29.7,29.4,36.602,2.71,2.46,20.274,3.532,0.618,0,58,0.009,1,0.816186096,2,-16.451099,145.208687,15/01/2013,53.35,5.08,0,18.11
SW,M,FITZROY ISLAND REEF,14138S,200944,23082S201213,-20.587632,144.793232,RAP,20,2018,4/01/2020,2009,4,30.1,29.3,25.866,2.57,2.47,20.344,2.47,1.903,1,64,0,51,0.38118132,2,-22.153389,146.755387,9/09/2002,20.41,22.88,0,9.48
SW,M,20104S,22102S,200190,20014S199899,-19.817828,148.762211,RM,5,2005,3/04/1994,2002,4,29,26.4,15.281,14.96,2.44,19.08,3.869,0.039,2,15,0,2,0.01682237,1,-20.072826,149.176878,30/11/2002,11,6.2,1.65,9.22
CB,M,SMALL LAGOON REEF,22088S,199968,16015S202021,-20.209009,147.638949,RAP,21,2004,25/01/1996,2000,4,29.3,26.5,24.57,2.49,2.48,34.883,7.027,1.544,1,88,0,1,0.597440588,2,-17.706263,150.291123,29/02/2004,40.94,9.75,7.62,6.06
PO,M,CHINAMAN REEF(22102),18042S,201579,21556S202021,-20.464233,151.834435,RAP,20,2016,5/08/2001,2015,8,28.6,27.5,25.539,2.47,2.48,2.5,2.976,1.239,2,23,0,59,0.260064052,2,-11.064927,152.014028,3/09/2000,50.49,46.8,1.14,4.29
PC,O,GRUB REEF(18077),21139S,200985,23082S201516,-21.626194,152.274672,RAP,24,2021,17/02/2002,2019,9,29.6,29.7,4.288,2.25,0,27.565,2.97,2.002,136,49,0.022,80,0.40953169,2,-12.819824,145.753245,28/01/2019,36.87,12.79,7.43,3.04
CA,M,20353S,16019S,200483,12061S202021,-16.593289,147.080757,RM,22,2019,29/04/2009,2012,7,30.6,28.5,3.18,2.49,0,14.588,3.067,0.528,28,58,0,1,0.024175205,1,-23.890883,146.84961,13/02/2002,50.28,12.46,1.27,11.91
PO,O,REBE REEF,14116S,200164,18086S199495,-14.055016,148.657256,RM,28,2013,3/02/2001,2002,4,31.8,28.6,3.843,21.64,0,21.21,0.462,1.727,2,25,0.012,1,0,2,-14.907315,149.562272,6/01/2004,28.83,9.63,35.05,9.44
CG,M,GREEN ISLAND REEF,20309S,201632,23048S200405,-20.575188,147.666275,RM,29,2012,27/11/2008,2009,12,29.2,27.4,15.789,2.5,2.52,19.263,6.909,1.401,1,39,0.022,51,2.068329644,3,-21.964252,144.329417,26/11/2013,63.16,0.1,6.61,1.88
WH,O,MONSOON REEF,18031S,200033,18086S200607,-19.830235,147.92464,RM,2,2002,17/01/2012,2001,9,30.3,27.3,16.083,2.61,0,15.477,0.16,2.135,4,18,0,0,0,1,-20.149082,149.758559,8/02/1994,30.07,42.95,2.64,12.98
CL,O,MAST HEAD REEF,21562S,201862,22102S200910,-18.236019,146.720842,RMRAP,28,2017,29/04/2009,2019,11,29.1,27.3,7.848,2.58,0,2.5,3.089,1.673,1,62,0,1,0.615909648,3,-18.563184,147.089431,24/10/2002,40.23,0.1,0.43,2.46
TO,M,21591S,14123S,201044,11016S201920,-15.541738,143.25,RM,28,2018,21/11/2006,2016,7,33,30,7.849,2.45,2.45,4.927,3.289,1.213,2,101,0,204,0.888414775,2,-15.066893,152.161853,27/11/2019,62.75,21,2.8,21.67
WH,O,YONGE REEF,17016S,199888,19207S199899,-19.471893,148.827972,RM,3,2002,20/01/2018,1995,3,25.4,26.2,7.818,0,2.45,38.893,22.571,2.531,0,34,0,2,0.020477397,3,-19.933921,149.894556,24/04/2013,12.97,4.86,19.91,9.13
TO,M,LOW ISLANDS REEF,14137S,201065,11016S201920,-18.227266,147.051537,RMRAP,29,2010,26/08/2014,2008,5,31.5,30.2,3.304,2.5,0,2.749,2.039,2.193,0,58,0.011,5,0.177125168,1,-17.416865,143.25005,27/02/2019,52.12,19.05,1.64,7.95
TO,O,21296S,22104S,201931,18031S200708,-18.077024,147.378196,RAP,29,2020,28/05/1992,2019,10,31.1,29.2,5.018,2.48,2.48,13.327,2.644,1.43,2,36,0.001,32,0.551812721,3,-18.871942,146.850126,18/02/2018,79.3,6.81,0.81,3.39
SW,O,HASTINGS REEF,18039S,201007,23080S201718,-21.789322,152.247703,RAP,23,2009,18/02/2012,1997,1,26.7,26.8,24.952,2.49,2.41,26.393,4.866,2.371,21,41,0.002,75,0.047771274,1,-23.833101,152.232334,21/10/2003,29.03,17.71,0,4.06
CA,M,DIP REEF,18065S,200783,11016S201920,-15.507104,145.446672,RMRAP,29,2018,20/10/2020,2017,1,32,29.7,14.824,2.36,0,7.73,2.914,1.457,2,103,0.013,1,0.370850938,2,-14.292746,145.735545,5/12/2020,25.46,38.23,3.05,23.68
PO,O,MAST HEAD REEF,23069S,200435,16019S200506,-21.33916,152.230059,RM,17,2013,11/09/2002,2015,9,28.1,31.5,26.108,2.53,2.5,26.395,2.473,0.738,3,127,0,186,0.543726512,2,-16.603205,151.896256,21/10/2003,27.72,21.05,0,1.86
CA,I,CARTER REEF,21245S,200433,11016S201920,-16.063303,145.535322,RM,4,2021,1/07/2001,1994,5,28.7,29.7,8.176,7.62,0,11.69,21.12,0.041,3,46,0,2,0,1,-15.198497,145.638359,1/05/2005,75.39,14.19,23.74,38.88
